Unnamed: 0,(as restated) ,(as restated) .1,(as restated) .2,(as restated) .3,(as restated) .4,(as restated) .5,2016 (as restated) ,2017 (as restated) ,2018 (as restated) ,2019 
College and University ,"$ 898,012 ","$ 923,760 ","$ 969,419 ","$ 989,412 ","$ 1,054,726 ","$ 1,015,707 ","$ 1,063,222 ","$ 1,185,061 ","$ 1,155,209 ","$ 1,169,944 "
Unemployment Compensation ,"666,808 ","482,087 ","358,283 ","251,016 ","142,524 ","110,597 ","108,187 ","108,022 ","86,600 ","89,446 "
Loan ,"9,624 ","14,571 ","7,112 ","6,480 ","7,565 ","9,604 ","7,537 ","8,119 ","6,448 ","10,122 "
State Lottery ,"110,204 ","112,003 ","134,055 ","150,599 ","163,295 ","165,445 ","185,115 ","192,314 ","211,916 ","228,352 "
State Liquor ,"118,022 ","117,039 ","123,656 ","134,117 ","141,467 ","143,469 ","153,901 ","163,270 ","172,786 ","184,756 "
Correctional Industries ,"6,553 ","6,727 ","8,030 ","7,560 ","8,755 ","8,155 ","8,960 ","9,112 ","9,429 ","12,145 "
Total Expenses ,"1,809,223 ","1,656,187 ","1,600,555 ","1,539,184 ","1,518,332 ","1,452,977 ","1,526,922 ","1,665,898 ","1,642,388 ","1,694,765 "
Revenues ,,,,,,,,,,
Charges for Services: ,,,,,,,,,,
College and University ,"368,504 ","405,450 ","436,208 ","445,649 ","459,380 ","489,740 ","491,169 ","489,375 ","506,484 ","515,194 "
Unemployment Compensation ,"255,278 ","337,479 ","351,781 ","314,630 ","258,072 ","203,794 ","189,219 ","189,816 ","163,839 ","150,267 "
State Lottery ,"147,931 ","147,849 ","176,547 ","198,169 ","209,642 ","210,940 ","236,819 ","240,686 ","265,811 ","288,617 "
"Other Activities 11,13 ","156,407 ","160,749 ","175,435 ","180,645 ","185,082 ","196,043 ","218,024 ","227,837 ","231,065 ","257,696 "
Operating Grants and Contributions ,"637,456 ","606,597 ","485,777 ","383,575 ","305,150 ","282,646 ","291,830 ","293,977 ","301,757 ","305,727 "
Capital Grants and Contributions ,"44,094 ","27,861 ","24,944 ","38,364 ","17,594 ","16,776 ","17,200 ","23,533 ","43,551 ","29,199 "
Total Revenues ,"1,609,670 ","1,685,985 ","1,650,692 ","1,561,032 ","1,434,920 ","1,399,939 ","1,444,261 ","1,465,224 ","1,512,507 ","1,546,700 "
Total Business-Type Activities Net Program Revenue (Expense) ,"(199,553) ","29,798 ","50,137 ","21,848 ","(83,412) ","(53,038) ","(82,661) ","(200,674) ","(129,881) ","(148,065) "
General Revenues and Other Changes in Net Position ,,,,,,,,,,
Special Item ,,,,"(80,990) ",,,,,,
Transfers ,"206,246 ","184,569 ","178,453 ","195,507 ","201,688 ","213,696 ","233,723 ","247,300 ","255,340 ","280,004 "
Total General Revenues and Other Changes in Net Position ,"206,246 ","184,569 ","178,453 ","114,517 ","201,688 ","213,696 ","233,723 ","247,300 ",255.340 ,"280,004 "
Total Business-Type Activities Change in Net Position ,$ 6.693 ,"S 214,367 ",S 228.590 ,$ 136.365 ,"S 118,276 ",S 160.658 ,"$ 151,062 ",S 46.626 ,"S 125,459 ","S 131,939 "
,,,,,,,"S 502,266 ",S 825.802 ,S 790.211 ,"S 550,407 "
