index,Unnamed: 0,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 
19,Total Primary Government Expenses ,"$ 52,533,473 ","$ 51,656,210 ","$ 48,979,655 ","$ 46,663,030 ","$ 46,159,376 ","$ 45,190,856 ","$ 45,679,485 ","$ 44,777,485 ","$ 43,889,674 ","$ 45,006,251 "
20,Program Revenues ,,,,,,,,,,
21,Governmental Activities (1) (2) (3) ,,,,,,,,,,
22,Sales and Charges for Services ,,,,,,,,,,
23,General Government ,"$ 761,015 ","$ 724,539 ","$ 698,096 ","$ 799,281 ","$ 621,448 ","$ 2,770,681 ","$ 2,205,860 ","$ 1,912,183 ","$ 1,887,736 ","$ 1,763,847 "
24,Health and Welfare ,"75,300 ","78,995 ","292,832 ","91,838 ","134,140 ","562,606 ","576,110 ","489,289 ","473,934 ","245,953 "
25,Public Safety ,"187,020 ","184,472 ","186,972 ","167,297 ","157,056 ","154,324 ","161,190 ","162,970 ","160,161 ","135,736 "
26,Other Sales and Charges for Services ,"277,008 ","273,257 ","236,843 ","275,045 ","260,346 ","236,035 ","235,067 ","264,309 ","248,385 ","263,202 "
27,Operating Grants and Contributions ,"16,236,248 ","16,277,251 ","15,611,324 ","15,372,385 ","15,758,799 ","14,780,822 ","15,317,258 ","14,764,360 ","14,029,675 ","15,656,694 "
28,Capital Grants and Contributions ,"1,614,685 ","1,560,745 ","1,608,086 ","1,377,654 ","1,182,723 ","1,239,876 ","1,310,696 ","1,142,924 ","1,473,052 ","1,599,721 "
29,Total Governmental Activities ,"19,151,276 ","19,099,259 ","18,634,153 ","18,083,500 ","18,114,512 ","19,744,344 ","19,806,181 ","18,736,035 ","18,272,943 ","19,665,153 "
30,Business-type Activities (1) ,,,,,,,,,,
31,Sales and Charges for Services ,,,,,,,,,,
32,Higher Education Fund (2) ,"3,730,124 ","3,578,611 ","3,552,863 ","3,509,384 ","3,241,333 ","2,993,298 ","2,992,037 ","2,922,710 ","2,647,604 ","2,408,042 "
33,State Health Benefit Plan (4) ,"2,523,714 ","2,965,082 ","2,188,034 ","2,121,100 ","2,363,917 ",- ,- ,- ,- ,- 
34,Unemployment Compensation Fund ,"592,707 ","649,655 ","709,830 ","785,392 ","849,070 ",,- ,- ,- ,- 
35,Nonmajor Enterprise Funds (1) (2) ,"40,566 ","43,124 ","30,181 ","11,640 ","95,020 ","146,407 ","114,152 ","38,716 ","35,476 ","34,142 "
36,Operating Grants and Contributions ,"3,354,730 ","3,031,969 ","2,788,516 ","2,636,285 ","2,611,058 ","6,695,670 ","7,251,162 ","7,245,740 ","7,557,366 ","7,837,041 "
37,Capital Grants and Contributions ,"109,838 ","107,167 ","79,085 ","60,543 ","102,216 ","36,664 ","90,665 ","36,157 ","106,217 ","41,634 "
38,Total Business-type Activities ,"10,351,679 ","10,375,608 ","9,348,509 ","9,124,344 ","9,262,614 ","9,872,039 ","10,448,016 ","10,243,323 ","10,346,663 ","10,320,859 "
39,Total Primary Government Program ,"$ 29,502,955 ","$ 29,474,867 ","$ 27,982,662 ","$ 27,207,844 ","$ 27,377,126 ","$ 29,616,383 ","$ 30,254,197 ","$ 28,979,358 ","$ 28,619,606 ","$ 29,986,012 "
40,Revenues ,,,,,,,,,,
41,Net (Expense) Revenue ,,,,,,,,,,
42,Governmental Activities (1) ,"$ (20,504,975) ","$ (19,841,129) ","$ (18,463,056) ","$ (17,458,616) ","$ (17,078,421) ","$ (14,046,247) ","$ (13,696,619) ","$ (13,486,462) ","$ (12,789,088) ","$ (11,937,044) "
43,Business-type Activities (2)(3)(4) ,"(2,525,543) ","(2,340,214) ","(2,533,937) ","(1,996,570) ","(1,703,829) ","(1,528,226) ","(1,728,669) ","(2,311,665) ","(2,480,980) ","(3,083,195) "
44,Total Primary Government ,"$ (23,030,518) ","$ (22,181,343) ","$ (20,996,993) ","$ (19,455,186) ","$ (18,782,250) ","$ (15,574,473) ","$ (15,425,288) ","$ (15,798,127) ","$ (15,270,068) ","$ (15,020,239) "
